epoch	batch	iter	loss	acc	lr
1	1	1	0.932030439376831	0.5	0.1
1	2	2	12.6683988571167	0.25	0.1
1	3	3	70.1783447265625	0.75	0.1
1	4	4	5581.0458984375	0.25	0.1
1	5	5	441.30889892578125	0.25	0.1
1	6	6	4283.66650390625	0.75	0.1
1	7	7	612904.6875	0.25	0.1
1	8	8	180969792.0	0.25	0.1
1	9	9	1716679344128.0	0.25	0.1
1	10	10	4.522467598746853e+20	0.25	0.1
1	11	11	8.756521330987629e+34	0.5	0.1
1	12	12	nan	0.5	0.1
1	13	13	nan	0.5	0.1
1	14	14	nan	0.5	0.1
1	15	15	nan	0.75	0.1
1	16	16	nan	0.75	0.1
1	17	17	nan	0.25	0.1
1	18	18	nan	0.75	0.1
1	19	19	nan	0.75	0.1
1	20	20	nan	0.25	0.1
1	21	21	nan	0.5	0.1
1	22	22	nan	0.75	0.1
1	23	23	nan	0.5	0.1
1	24	24	nan	0.75	0.1
1	25	25	nan	0.25	0.1
1	26	26	nan	0.75	0.1
1	27	27	nan	0.5	0.1
1	28	28	nan	0.75	0.1
1	29	29	nan	0.5	0.1
1	30	30	nan	1.0	0.1
1	31	31	nan	0.75	0.1
1	32	32	nan	0.75	0.1
1	33	33	nan	0.75	0.1
1	34	34	nan	0.75	0.1
1	35	35	nan	0.75	0.1
1	36	36	nan	0.5	0.1
1	37	37	nan	0.5	0.1
1	38	38	nan	0.75	0.1
1	39	39	nan	0.5	0.1
1	40	40	nan	0.25	0.1
1	41	41	nan	0.25	0.1
1	42	42	nan	0.5	0.1
1	43	43	nan	0.5	0.1
1	44	44	nan	0.5	0.1
1	45	45	nan	0.25	0.1
1	46	46	nan	0.25	0.1
1	47	47	nan	0.25	0.1
1	48	48	nan	0.5	0.1
1	49	49	nan	0.75	0.1
1	50	50	nan	0.5	0.1
1	51	51	nan	0.25	0.1
1	52	52	nan	0.75	0.1
1	53	53	nan	0.75	0.1
1	54	54	nan	0.5	0.1
1	55	55	nan	0.75	0.1
1	56	56	nan	0.5	0.1
1	57	57	nan	0.5	0.1
1	58	58	nan	0.25	0.1
